id,name,category_id/id,code,sequence,appears_on_payslip,condition_select,condition_range,condition_range_max,condition_range_min,condition_python,amount_select,quantity,amount_fix,amount_percentage_base,amount_percentage,amount_python_compute,register_id/id
mepat_paie.hr_salary_rule_4,Salaire de base,mepat_paie.hr_salary_rule_category_16,BASE,1,True,Toujours vrai,contract.wage,0,0,result = rules.NET > categories.NET * 0.10,Code Python,1,0,,0,result = contract.wage,
mepat_paie.hr_salary_rule_5,Prime de responsabilité,mepat_paie.hr_salary_rule_category_9,RESPONSABILITE,100,True,Expression Python,contract.wage,0,0,result = (inputs.RESPONSABILITE and inputs.RESPONSABILITE.amount) or False,Code Python,1,0,,0,"
result = inputs.RESPONSABILITE.amount",
mepat_paie.hr_salary_rule_6,Prime d'ancienneté,mepat_paie.hr_salary_rule_category_9,ANCIENNETE,105,True,Expression Python,contract.wage,0,0,"
result = (inputs.ANCIENNETE and inputs.ANCIENNETE.amount) or False",Code Python,1,0,,0,result = inputs.ANCIENNETE.amount,
mepat_paie.hr_salary_rule_7,Prime d'assiduite,mepat_paie.hr_salary_rule_category_9,ASSIDUITE,210,True,Expression Python,contract.wage,0,0,result = (inputs.ASSIDUITE and inputs.ASSIDUITE.amount) or False,Code Python,1,0,,0,result  = inputs.ASSIDUITE.amount,
mepat_paie.hr_salary_rule_8,Prime de transport,mepat_paie.hr_salary_rule_category_15,TRANSPORT,220,True,Expression Python,contract.wage,0,0,result = (inputs.TRANSPORT and inputs.TRANSPORT.amount) or False,Code Python,1,0,,0,"
result = inputs.TRANSPORT.amount",
mepat_paie.hr_salary_rule_9,Prime de logement,mepat_paie.hr_salary_rule_category_15,LOGEMENT,222,True,Expression Python,contract.wage,0,0,"
result = (inputs.LOGEMENT and inputs.LOGEMENT.amount) or False",Code Python,1,0,,0,result = inputs.LOGEMENT.amount,
mepat_paie.hr_salary_rule_10,Prime d'entretien véhicule,mepat_paie.hr_salary_rule_category_15,VOITURE,225,True,Expression Python,contract.wage,0,0,result = (inputs.VOITURE and inputs.VOITURE.amount) or False,Code Python,1,0,,0,result = inputs.VOITURE.amount,
mepat_paie.hr_salary_rule_11,Prime de vente,mepat_paie.hr_salary_rule_category_9,VENTE,104,True,Expression Python,contract.wage,0,0,result = (inputs.VENTE and inputs.VENTE.amount) or False,Code Python,1,0,,0,result = inputs.VENTE.amount,
mepat_paie.hr_salary_rule_12,Prime de rendement,mepat_paie.hr_salary_rule_category_9,RENDEMENT,224,True,Expression Python,contract.wage,0,0,result = (inputs.RENDEMENT and inputs.RENDEMENT.amount) or False,Code Python,1,0,,0,result = inputs.RENDEMENT.amount,
mepat_paie.hr_salary_rule_13,Indemnité de representation,mepat_paie.hr_salary_rule_category_15,REPRESENTATION,110,True,Expression Python,contract.wage,0,0,result = (inputs.REPRESENTATION and inputs.REPRESENTATION.amount) or False,Code Python,1,0,,0,result = inputs.REPRESENTATION.amount,
mepat_paie.hr_salary_rule_14,Indemnités de congés,mepat_paie.hr_salary_rule_category_9,CONGES,109,True,Expression Python,contract.wage,0,0,result = (inputs.CONGES and inputs.CONGES.amount) or False,Code Python,1,0,,0,result = inputs.CONGES.amount,
mepat_paie.hr_salary_rule_15,Panier de nuit,mepat_paie.hr_salary_rule_category_9,NUIT,106,True,Expression Python,contract.wage,0,0,result = (inputs.NUIT and inputs.NUIT.amount) or False,Code Python,1,0,,0,result = inputs.NUIT.amount,
mepat_paie.hr_salary_rule_16,Heures Sup à 20%,mepat_paie.hr_salary_rule_category_9,HS20,300,True,Expression Python,contract.wage,0,0,result = (inputs.HS20 and inputs.HS20.amount) or False,Code Python,1,0,,0,result = inputs.HS20.amount,
mepat_paie.hr_salary_rule_17,Heures Sup à 30%,mepat_paie.hr_salary_rule_category_9,HS30,301,True,Expression Python,contract.wage,0,0,result = (inputs.HS30 and inputs.HS30.amount) or False,Code Python,1,0,,0,result = inputs.HS30.amount,
mepat_paie.hr_salary_rule_18,Heures Sup à 40%,mepat_paie.hr_salary_rule_category_9,HS40,302,True,Expression Python,contract.wage,0,0,result = (inputs.HS40 and inputs.HS40.amount) or False,Code Python,1,0,,0,result = inputs.HS40.amount,
mepat_paie.hr_salary_rule_19,IRPP,mepat_paie.hr_salary_rule_category_10,IRPP,1000,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"result = 0.0

if (SB > 62000 and SB <= 310000) :
   result = ((SB * 0.7) - (SB * 0.042) - 41667) * 0.1
elif (SB > 310000 and SB <= 429000) :
    result = 16963 +( (SB - 310000) * 0.7 * 0.15)
elif (SB > 429000 and SB <= 667000) :
    result = 29188 + ((SB - 429000) * 0.7 * 0.25)
elif (SB > 667000 ) :
    result = 70830 +( (SB - 667000) * 0.7 * 0.35)",
mepat_paie.hr_salary_rule_20,CAC/IRPP,mepat_paie.hr_salary_rule_category_10,CAC/IRPP,1001,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,result = IRPP * 0.1,
mepat_paie.hr_salary_rule_21,Taxe developpement local,mepat_paie.hr_salary_rule_category_10,TDL,1002,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"base = BASE
result = 0.0

if (base > 62000 and base <= 75000) :
    result = 3000/12
elif (base > 75000 and base <= 100000) :
    result = 6000/12
elif (base > 100000 and base <= 125000) :
    result = 9000/12
elif (base > 125000 and base <= 150000) :
    result = 12000/12
elif (base > 150000 and base <= 200000) :
    result = 15000/12
elif (base > 200000 and base <= 250000) :
    result = 18000/12
elif (base > 250000 and base <= 300000) :
    result = 24000/12
elif (base > 300000 and base <= 500000) :
    result = 27000/12
elif (base > 500000) :
    result = 30000/12",
mepat_paie.hr_salary_rule_22,Crédit Foncier (P. Sal),mepat_paie.hr_salary_rule_category_10,CFS,1003,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"base = SBT - (SBT%1000)

result = base * 0.01",
mepat_paie.hr_salary_rule_23,Crédit Foncier (P. Pat),mepat_paie.hr_salary_rule_category_11,CFP,1004,False,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"base = SBT - (SBT%1000)

result =base * 0.015",
mepat_paie.hr_salary_rule_24,Redevance audiovisuel,mepat_paie.hr_salary_rule_category_10,RAV,1005,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"base = SBT
result = 0.0

if (base <= 50000) :
    result = 0.0
elif (base > 50000 and base <= 100000) :
    result = 750
elif (base > 100000 and base <= 200000) :
    result = 1950
elif (base > 200000 and base <= 300000) :
    result = 3250
elif (base > 300000 and base <= 400000) :
    result = 4550
elif (base > 400000 and base <= 500000) :
    result = 5850
elif (base > 500000 and base <= 600000) :
    result = 7150
elif (base > 600000 and base <= 700000) :
    result = 8450
elif (base > 700000 and base <= 800000) :
    result = 9750
elif (base > 800000 and base <= 900000) :
    result = 11050
elif (base > 900000 and base <= 1000000) :
    result = 12350
elif (base > 1000000) :
    result = 13000
",
mepat_paie.hr_salary_rule_25,Fonds National de l'Empoi,mepat_paie.hr_salary_rule_category_11,FNE,1007,False,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,result = SBT * 0.01,
mepat_paie.hr_salary_rule_26,Pension Vieillesse (P. Sal),mepat_paie.hr_salary_rule_category_10,PVID_SAL,1008,True,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,,0,"base = SC

if base < 750000 :
    result = base * 0.042
else : result = 31500",hr_payroll.contrib_register_employees
mepat_paie.hr_salary_rule_27,Prestations familiales,mepat_paie.hr_salary_rule_category_11,PF,1009,False,Toujours vrai,contract.wage,0,0,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",Code Python,1,0,co,0,"base = SC

if base < 750000 :
   result = base * 0.07
else : result = 750000 * 0.07",
